,url,name,biz_id,address,category,star_rating
0,https://www.yelp.com/biz/fukuro-noodle-bar-buenos-aires-2?osq=food,Fukuro Noodle Bar,fukuro-noodle-bar-buenos-aires-2,Costa Rica 5514,"['Japanese', 'Taiwanese']",4.5
1,https://www.yelp.com/biz/la-cocina-buenos-aires-2?osq=food,La Cocina,la-cocina-buenos-aires-2,Av. Pueyrredón 1508,"['Argentine', 'Empanadas']",4.5
2,https://www.yelp.com/biz/sarkis-buenos-aires-2?osq=food,Sarkis,sarkis-buenos-aires-2,Thames 1101,"['Arabian', 'Armenian', 'Middle Eastern']",4.5
3,https://www.yelp.com/biz/la-vermuter%C3%ADa-buenos-aires-3?osq=food,La Vermutería,la-vermuter%C3%ADa-buenos-aires-3,Lavalle 3780,"['Tapas Bars', 'Diners', 'Dive Bars']",4.0
4,https://www.yelp.com/biz/cachito-premium-buenos-aires-3?osq=food,Cachito Premium,cachito-premium-buenos-aires-3,Serrano 1106,"['Steakhouses', 'Sandwiches', 'Argentine']",4.0
5,https://www.yelp.com/biz/tintoreria-yafuso-buenos-aires?osq=food,Tintoreria Yafuso,tintoreria-yafuso-buenos-aires,Juan Ramirez de Velasco 399,"['Japanese', 'Sushi Bars']",5.0
6,https://www.yelp.com/biz/koko-buenos-aires?osq=food,Koko,koko-buenos-aires,Arévalo 1470,"['Vietnamese', 'Taiwanese', 'Asian Fusion']",4.5
7,https://www.yelp.com/biz/%C5%BEuti-buenos-aires?osq=food,Žuti,%C5%BEuti-buenos-aires,Honduras 5615,['Korean'],4.0
8,https://www.yelp.com/biz/la-pulperia-palermo?osq=food,La Pulperia,la-pulperia-palermo,Uriarte 1667,['Argentine'],5.0
9,https://www.yelp.com/biz/la-alacena-buenos-aires?osq=food,La Alacena,la-alacena-buenos-aires,Gascón 1401,"['Cafeteria', 'Breakfast & Brunch']",4.0
10,https://www.yelp.com/biz/na-num-buenos-aires?osq=food+review,Na Num,na-num-buenos-aires,Honduras 4413,"['Korean', 'Breakfast & Brunch']",4.0
11,https://www.yelp.com/biz/old-beijing-buenos-aires?osq=food+review,Old Beijing,old-beijing-buenos-aires,Esmeralda 877,['Chinese'],4.5
12,https://www.yelp.com/biz/cantina-sunae-buenos-aires?osq=food+review,Cantina Sunae,cantina-sunae-buenos-aires,Humboldt 1626,"['Thai', 'Filipino', 'Vietnamese']",4.5
13,https://www.yelp.com/biz/don-julio-buenos-aires?osq=food+review,Don Julio,don-julio-buenos-aires,Guatemala 4691,['Steakhouses'],4.5
14,https://www.yelp.com/biz/jing-yue-buenos-aires?osq=food+review,Jing Yue,jing-yue-buenos-aires,Reconquista 873,['Chinese'],5.0
15,https://www.yelp.com/biz/sarkis-buenos-aires-2?osq=food+review,Sarkis,sarkis-buenos-aires-2,Thames 1101,"['Arabian', 'Armenian', 'Middle Eastern']",4.5
16,https://www.yelp.com/biz/namu-palermo?osq=food+review,Namu,namu-palermo,José A. Cabrera 5600,"['Korean', 'Coffee & Tea']",4.5
17,https://www.yelp.com/biz/roux-buenos-aires?osq=food+review,Roux,roux-buenos-aires,Peña 2300,"['Signature Cuisine', 'Mediterranean']",4.5
18,https://www.yelp.com/biz/la-locanda-buenos-aires?osq=food+review,La Locanda,la-locanda-buenos-aires,José León Pagano 2697,['Italian'],4.5
19,https://www.yelp.com/biz/la-carnicer%C3%ADa-buenos-aires?osq=food+review,La Carnicería,la-carnicer%C3%ADa-buenos-aires,Thames 2317,"['Steakhouses', 'Bars']",4.5
20,https://www.yelp.com/biz/social-brew-cafe-pyrmont?osq=food+review,Social Brew Cafe,social-brew-cafe-pyrmont,224 Harris St,"['Cafes', 'Breakfast & Brunch', 'Coffee & Tea']",4.5
21,https://www.yelp.com/biz/pendolino-sydney?osq=food+review,Pendolino,pendolino-sydney,412-414 George St,['Italian'],4.5
22,https://www.yelp.com/biz/hunter-and-barrel-sydney?osq=food+review,Hunter & Barrel,hunter-and-barrel-sydney,Tenancy 303,"['Australian', 'Chinese']",4.0
23,https://www.yelp.com/biz/caffe-amici-sydney?osq=food+review,Caffe Amici,caffe-amici-sydney,1/355 Kent St,['Italian'],5.0
24,https://www.yelp.com/biz/tetsuyas-sydney?osq=food+review,Tetsuya’s,tetsuyas-sydney,529 Kent St,"['French', 'Japanese']",4.5
25,https://www.yelp.com/biz/ho-jiak-haymarket-haymarket-2?osq=food+review,Ho Jiak Haymarket,ho-jiak-haymarket-haymarket-2,92 Hay St,"['Malaysian', 'Chinese']",4.5
26,https://www.yelp.com/biz/yayoi-teishoku-japanese-restaurant-sydney?osq=food+review,Yayoi Teishoku Japanese Restaurant,yayoi-teishoku-japanese-restaurant-sydney,,['Japanese'],4.0
27,https://www.yelp.com/biz/mr-wong-sydney?osq=food+review,Mr Wong,mr-wong-sydney,3 Bridge Ln,['Cantonese'],4.0
28,https://www.yelp.com/biz/food-on-five-sydney?osq=food+review,Food on Five,food-on-five-sydney,,['Food Court'],4.5
29,https://www.yelp.com/biz/nel-restaurant-sydney?osq=food+review,Nel. Restaurant,nel-restaurant-sydney,75 Wentworth Ave,"['Restaurants', 'Wine Bars']",4.0
30,https://www.yelp.com/biz/tortiller%C3%ADa-y-antojitos-mexikanos-wien?osq=food+review,Tortillería y Antojitos Mexikanos,tortiller%C3%ADa-y-antojitos-mexikanos-wien,Leopoldgasse 31,['Mexican'],4.0
31,https://www.yelp.com/biz/das-kimchi-wien?osq=food+review,Das Kimchi,das-kimchi-wien,Marxergasse 15,['Korean'],4.5
32,https://www.yelp.com/biz/the-breakfast-club-wien?osq=food+review,The Breakfast Club,the-breakfast-club-wien,Schleifmühlgasse 12 - 14,['Breakfast & Brunch'],4.5
33,https://www.yelp.com/biz/gasthaus-p%C3%B6schl-wien?osq=food+review,Gasthaus Pöschl,gasthaus-p%C3%B6schl-wien,Weihburggasse 17,"['Gastropubs', 'Austrian']",4.5
34,https://www.yelp.com/biz/mama-liu-und-sons-wien?osq=food+review,Mama Liu & Sons,mama-liu-und-sons-wien,Gumpendorfer Str. 29,['Dim Sum'],4.0
35,https://www.yelp.com/biz/bitzinger-wien-6?osq=food+review,Bitzinger,bitzinger-wien-6,Albertinaplatz 1,"['Curry Sausage', 'Food Stands', 'Hot Dogs']",4.0
36,https://www.yelp.com/biz/l-osteria-wien?osq=food+review,L’Osteria,l-osteria-wien,Bräunerstr. 11,"['Pizza', 'Italian']",4.0
37,https://www.yelp.com/biz/yong-streetfood-wien?osq=food+review,Yong Streetfood,yong-streetfood-wien,Rechte Wienzeile 9 a,['Pan Asian'],5.0
38,https://www.yelp.com/biz/ristorante-danieli-wien?osq=food+review,Ristorante Danieli,ristorante-danieli-wien,Himmelpfortgasse 3,['Italian'],4.5
39,https://www.yelp.com/biz/schachtelwirt-wien?osq=food+review,SchachtelWirt,schachtelwirt-wien,Judengasse 5,['Austrian'],5.0
40,https://www.yelp.com/biz/brouwerij-l-huyghe-melle?osq=food+review,Brouwerij L. Huyghe,brouwerij-l-huyghe-melle,Geraardsbergsesteenweg 14B,['Breweries'],5.0
41,https://www.yelp.com/biz/brasserie-bavaria-zaventem?osq=food+review,Brasserie Bavaria,brasserie-bavaria-zaventem,Mechelsesteenweg 460,"['German', 'Steakhouses', 'Brasseries']",4.5
42,https://www.yelp.com/biz/the-noodle-bar-bruxelles?osq=food+review,The Noodle Bar,the-noodle-bar-bruxelles,Rue du Marché aux Fromages 15,"['Pan Asian', 'Noodles']",4.5
43,https://www.yelp.com/biz/buns-burgers-bruxelles?osq=food+review,Bun’s Burgers,buns-burgers-bruxelles,Avenue Fonsny 64,['Burgers'],5.0
44,https://www.yelp.com/biz/brasserie-de-la-ville-bruxelles?osq=food+review,Brasserie de la Ville,brasserie-de-la-ville-bruxelles,Rue des Chapeliers 14,"['Belgian', 'Brasseries']",4.5
45,https://www.yelp.com/biz/l-ana-th%C3%A8me-bruxelles?osq=food+review,L’Ana Thème,l-ana-th%C3%A8me-bruxelles,Rue de la Fourche 14,"['Belgian', 'French']",5.0
46,https://www.yelp.com/biz/maison-d-istrie-ixelles?osq=food+review,Maison d’Istrie,maison-d-istrie-ixelles,Avenue Louise 261,"['Wine Bars', 'Mediterranean', 'Cocktail Bars']",5.0
47,https://www.yelp.com/biz/le-fin-de-si%C3%A8cle-brussel?osq=food+review,Le Fin de Siècle,le-fin-de-si%C3%A8cle-brussel,Rue des Chartreux 9,['Brasseries'],4.0
48,https://www.yelp.com/biz/3-fonteinen-restaurant-caf%C3%A9-beersel-2?osq=food+review,3 Fonteinen Restaurant-Café,3-fonteinen-restaurant-caf%C3%A9-beersel-2,Herman Teirlinckplein 3,"['Belgian', 'Cafes']",4.5
49,https://www.yelp.com/biz/big-mama-bruxelles?osq=food+review,Big Mama,big-mama-bruxelles,Place de la Vieille Halle aux Blés 41,"['French', 'Belgian']",4.5
50,https://www.yelp.com/biz/birria-catrina-toronto?osq=food+review,Birria Catrina,birria-catrina-toronto,214 Augusta Avenue,['Mexican'],4.0
51,https://www.yelp.com/biz/uncle-ray-s-food-and-liquor-toronto?osq=food+review,Uncle Ray’s Food & Liquor,uncle-ray-s-food-and-liquor-toronto,9 Church Street,"['Barbeque', 'Southern', 'Bars']",4.5
52,https://www.yelp.com/biz/egg-club-toronto?osq=food+review,Egg Club,egg-club-toronto,88 Dundas Street E,['Breakfast & Brunch'],4.5
53,https://www.yelp.com/biz/the-oats-kaf%C3%A9-toronto?osq=food+review,The Oats Kafé,the-oats-kaf%C3%A9-toronto,31 Phipps Street,['Cafes'],4.5
54,https://www.yelp.com/biz/8mile-detroit-style-pizza-toronto?osq=food+review,8Mile Detroit Style Pizza,8mile-detroit-style-pizza-toronto,9 Charles Street West,"['Pizza', 'Salad', 'Italian']",4.5
55,https://www.yelp.com/biz/birria-balam-toronto?osq=food+review,Birria Balam,birria-balam-toronto,147 Spadina Avenue,['Mexican'],5.0
56,https://www.yelp.com/biz/best-istanbul-restaurant-toronto-2?osq=food+review,Best Istanbul Restaurant,best-istanbul-restaurant-toronto-2,235 Augusta Avenue,['Turkish'],4.5
57,https://www.yelp.com/biz/playa-cabana-toronto?osq=food+review,Playa Cabana,playa-cabana-toronto,111 Dupont Street,"['Mexican', 'Bars']",4.0
58,https://www.yelp.com/biz/yuugi-izakaya-toronto?osq=food+review,Yuugi Izakaya,yuugi-izakaya-toronto,49 Baldwin Street,"['Japanese', 'Tapas/Small Plates', 'Sushi Bars']",4.5
59,https://www.yelp.com/biz/adamson-barbecue-toronto?osq=food+review,Adamson Barbecue,adamson-barbecue-toronto,176 Wicksteed Avenue,['Barbeque'],4.5
60,https://www.yelp.com/biz/barrica-94-santiago?osq=food+review,Barrica 94,barrica-94-santiago,Bellavista 052,"['Wine Bars', 'Chilean', 'Cocktail Bars']",4.5
61,https://www.yelp.com/biz/galindo-santiago?osq=food+review,Galindo,galindo-santiago,Dardignac 98,"['Chilean', 'Bars']",4.0
62,https://www.yelp.com/biz/restaurante-040-santiago?osq=food+review,Restaurante 040,restaurante-040-santiago,Antonia López de Bello 40,"['Mediterranean', 'Seafood', 'Tapas/Small Plates']",4.0
63,https://www.yelp.com/biz/la-cabrera-santiago?osq=food+review,La Cabrera,la-cabrera-santiago,Alonso de Córdova 4263,['Steakhouses'],4.5
64,https://www.yelp.com/biz/aqu%C3%AD-est%C3%A1-coco-santiago?osq=food+review,Aquí Está Coco,aqu%C3%AD-est%C3%A1-coco-santiago,La Concepción 236,['Seafood'],4.5
65,https://www.yelp.com/biz/the-raj-santiago?osq=food+review,The Raj,the-raj-santiago,Av. Manuel Montt 1855,['Indian'],4.5
66,https://www.yelp.com/biz/karai-las-condes?osq=food+review,Karai,karai-las-condes,,"['Japanese', 'Peruvian']",5.0
67,https://www.yelp.com/biz/quinoa-santiago?osq=food+review,Quinoa,quinoa-santiago,Luis Pasteur 5393,"['Vegetarian', 'Breakfast & Brunch', 'Vegan']",5.0
68,https://www.yelp.com/biz/azul-profundo-santiago-2?osq=food+review,Azul Profundo,azul-profundo-santiago-2,Constitucion 111,"['Seafood', 'Cafes']",4.0
69,https://www.yelp.com/biz/naoki-santiago?osq=food+review,Naoki,naoki-santiago,Vitacura 3875,['Japanese'],4.5
70,https://www.yelp.com/biz/mlejnice-praha?osq=food+review,Mlejnice,mlejnice-praha,Kožná 488/14,"['Czech', 'Barbeque']",4.0
71,https://www.yelp.com/biz/pivovar-u-t%C5%99%C3%AD-r%C5%AF%C5%BE%C3%AD-praha?osq=food+review,Pivovar U Tří růží,pivovar-u-t%C5%99%C3%AD-r%C5%AF%C5%BE%C3%AD-praha,Husova 10,"['Czech', 'Brewpubs']",4.5
72,https://www.yelp.com/biz/agave-restaurant-praha?osq=food+review,Agave Restaurant,agave-restaurant-praha,Masná 620/2,"['Mexican', 'Lounges', 'Vegetarian']",4.5
73,https://www.yelp.com/biz/etnosv%C4%9Bt-praha?osq=food+review,Etnosvět,etnosv%C4%9Bt-praha,Legerova 40,['Vegetarian'],4.5
74,https://www.yelp.com/biz/las-adelitas-praha?osq=food+review,Las Adelitas,las-adelitas-praha,Americká 684/8,['Mexican'],4.5
75,https://www.yelp.com/biz/trattoria-cicala-praha-1?osq=food+review,Trattoria Cicala,trattoria-cicala-praha-1,Žitná 43,['Italian'],4.5
76,https://www.yelp.com/biz/bistro-monk-star%C3%A9-m%C4%9Bsto?osq=food+review,Bistro Monk,bistro-monk-star%C3%A9-m%C4%9Bsto,Michalská 18,"['Coffee & Tea', 'Breakfast & Brunch', 'Bistros']",4.5
77,https://www.yelp.com/biz/na%C5%A1e-maso-praha?osq=food+review,Naše maso,na%C5%A1e-maso-praha,,"['Butcher', 'Bistros', 'Meat Shops']",4.5
78,https://www.yelp.com/biz/madame-lyn-praha-2?osq=food+review,Madame Lyn,madame-lyn-praha-2,Šafaříkova 18,['Vietnamese'],4.5
79,https://www.yelp.com/biz/lehk%C3%A1-hlava-praha?osq=food+review,Lehká hlava,lehk%C3%A1-hlava-praha,Boršov 280/2,['Vegetarian'],4.5
80,https://www.yelp.com/biz/willys-hiller%C3%B8d?osq=food+review,Willy’s,willys-hiller%C3%B8d,Frederiksgade 6,['French'],4.0
81,https://www.yelp.com/biz/thai-4-you-hiller%C3%B8d?osq=food+review,Thai 4 You,thai-4-you-hiller%C3%B8d,Østergade 22,"['Thai', 'Wok']",4.0
82,https://www.yelp.com/biz/phuket-thai-take-away-oulu?osq=food+review,Phuket Thai Take Away,phuket-thai-take-away-oulu,Kauppurienkatu 4,['Thai'],4.0
83,https://www.yelp.com/biz/ravintola-puistola-oulu?osq=food+review,Ravintola Puistola,ravintola-puistola-oulu,Pakkahuoneenkatu 15,['Modern European'],4.0
84,https://www.yelp.com/biz/le-comptoir-de-la-gastronomie-paris?osq=food+review,Le Comptoir de la Gastronomie,le-comptoir-de-la-gastronomie-paris,34 rue Montmartre,['French'],4.5
85,https://www.yelp.com/biz/enza-et-famiglia-trattoria-pasta-paris?osq=food+review,Enza & Famiglia Trattoria Pasta,enza-et-famiglia-trattoria-pasta-paris,89 rue Saint-Honoré,['Italian'],4.5
86,https://www.yelp.com/biz/caf%C3%A9-blanc-paris-7?osq=food+review,Café Blanc,caf%C3%A9-blanc-paris-7,10 rue Croix des Petits Champs,"['French', 'Coffee & Tea', 'Breakfast & Brunch']",4.5
87,https://www.yelp.com/biz/ellsworth-paris?osq=food+review,Ellsworth,ellsworth-paris,34 rue de Richelieu,"['Wine Bars', 'French']",4.5
88,https://www.yelp.com/biz/l-arp%C3%A8ge-paris-2?osq=food+review,L’Arpège,l-arp%C3%A8ge-paris-2,84 rue de Varenne,['French'],4.0
89,https://www.yelp.com/biz/guy-savoy-paris-3?osq=food+review,Guy Savoy,guy-savoy-paris-3,11 quai de Conti,['French'],4.5
90,https://www.yelp.com/biz/khajuraho-paris?osq=food+review,Khajuraho,khajuraho-paris,14 bd de la Tour Maubourg,['Indian'],5.0
91,https://www.yelp.com/biz/bistro-des-augustins-paris?osq=food+review,Bistro des Augustins,bistro-des-augustins-paris,39 quai des Grands Augustins,"['Bistros', 'Wine Bars']",4.5
92,https://www.yelp.com/biz/eggs-et-co-paris?osq=food+review,Eggs & Co,eggs-et-co-paris,11 rue Bernard Palissy,['Breakfast & Brunch'],4.5
93,https://www.yelp.com/biz/la-maison-du-dim-sum-paris?osq=food+review,La Maison du Dim Sum,la-maison-du-dim-sum-paris,4 rue des Fossés Saint Jacques,"['Buffets', 'Dim Sum']",4.0
94,https://www.yelp.com/biz/da-jia-le-berlin-3?osq=food+review,Da Jia Le,da-jia-le-berlin-3,Goebenstr. 23,['Chinese'],4.5
95,https://www.yelp.com/biz/stadtklause-berlin?osq=food+review,Stadtklause,stadtklause-berlin,Bernburger Str. 35,['German'],4.5
96,https://www.yelp.com/biz/yarok-berlin?osq=food+review,Yarok,yarok-berlin,Torstr. 195,['Syrian'],4.5
97,https://www.yelp.com/biz/maria-bonita-berlin-3?osq=food+review,Maria Bonita,maria-bonita-berlin-3,Danziger Str. 33,['Mexican'],4.0
98,https://www.yelp.com/biz/thai-window-asia-berlin?osq=food+review,Thai Window Asia,thai-window-asia-berlin,Torstr. 22,['Thai'],4.5
99,https://www.yelp.com/biz/steel-vintage-bikes-caf%C3%A9-berlin-3?osq=food+review,Steel Vintage Bikes Café,steel-vintage-bikes-caf%C3%A9-berlin-3,Wilhelmstr. 91,"['Cafes', 'Bikes', 'Breakfast & Brunch']",4.5
100,https://www.yelp.com/biz/caf%C3%A9-bondi-berlin-2?osq=food+review,Café Bondi,caf%C3%A9-bondi-berlin-2,Eichendorffstr. 6,"['Breakfast & Brunch', 'Cafes']",4.5
101,https://www.yelp.com/biz/muse-berlin-2?osq=food+review,Muse,muse-berlin-2,Immanuelkirchstr. 31,"['International', 'Sandwiches', 'Burgers']",4.5
102,https://www.yelp.com/biz/royals-und-rice-berlin-2?osq=food+review,Royals & Rice,royals-und-rice-berlin-2,Torstr. 164,['Pan Asian'],4.0
103,https://www.yelp.com/biz/factory-girl-berlin-2?osq=food+review,FACTORY GIRL,factory-girl-berlin-2,Auguststr. 29 C,"['Breakfast & Brunch', 'Cafes', 'Desserts']",4.0
104,https://www.yelp.com/biz/the-base-%E9%A6%99%E6%B8%AF?osq=food+review,The Base,the-base-%E9%A6%99%E6%B8%AF,"Room 509, 5/F, Fengli Center, 52-54 Hoi Yuen Road,, 開源道52-54號豐利中心5樓509室",['Cafes'],5.0
105,https://www.yelp.com/biz/%E5%8F%A3%E5%88%A9%E7%A6%8F-%E9%A6%99%E6%B8%AF?osq=food+review,Ho Lee Fook,%E5%8F%A3%E5%88%A9%E7%A6%8F-%E9%A6%99%E6%B8%AF,"G/F, 1-5 Elgin Street, 伊利近街1-5號地下","['Asian Fusion', 'Cantonese']",4.5
106,https://www.yelp.com/biz/27-kebab-house-turkish-restaurant-%E9%A6%99%E6%B8%AF-3?osq=food+review,27 Kebab House Turkish Restaurant,27-kebab-house-turkish-restaurant-%E9%A6%99%E6%B8%AF-3,"Shop D - E, 27 Hollywood Road, 荷李活道27號地下D-E號鋪","['Turkish', 'Imported Food']",4.5
107,https://www.yelp.com/biz/%E7%88%86%E4%B8%BC%E5%B1%8B-%E9%A6%99%E6%B8%AF?osq=food+review,Big Bang Don,%E7%88%86%E4%B8%BC%E5%B1%8B-%E9%A6%99%E6%B8%AF,"Shop 8, G/F, 50 Soy Street, 豉油街50號地下8號舖","['Japanese', 'Seafood', 'Sushi Bars']",4.0
108,https://www.yelp.com/biz/%E8%84%86%E5%91%B3%E6%89%B9-%E9%A6%99%E6%B8%AF-2?osq=food+review,Chubby’s Pizza,%E8%84%86%E5%91%B3%E6%89%B9-%E9%A6%99%E6%B8%AF-2,"Shop 6, G/F, Kwai Dao Building ,143 Tai Loong Street, 大隴街143號葵都大廈地下6號舖",['Pizza'],4.0
109,https://www.yelp.com/biz/passion-by-gerard-dubois-%E9%A6%99%E6%B8%AF-6?osq=food+review,Passion by Gerard Dubois,passion-by-gerard-dubois-%E9%A6%99%E6%B8%AF-6,,"['French', 'Salad', 'Desserts']",4.5
110,https://www.yelp.com/biz/applegreen-%E9%A6%99%E6%B8%AF-5?osq=food+review,Applegreen,applegreen-%E9%A6%99%E6%B8%AF-5,"Shop 2A,2/F, Pacific Mansion, 172-174 Nathan Road, 彌敦道172-174號太平洋大廈2樓2A舖","['American (Traditional)', 'Salad']",4.0
111,https://www.yelp.com/biz/%E8%8C%B6%E5%9C%92-%E9%A6%99%E6%B8%AF-2?osq=food+review,Tiffin,%E8%8C%B6%E5%9C%92-%E9%A6%99%E6%B8%AF-2,"M/F, Grand Hyatt Hong Kong, 1 Harbour Road, 港灣道1號香港君悅酒店M樓","['Buffets', 'International', 'Seafood']",4.5
112,https://www.yelp.com/biz/the-mixing-bowl-%E9%A6%99%E6%B8%AF?osq=food+review,The Mixing Bowl,the-mixing-bowl-%E9%A6%99%E6%B8%AF,,['Cooking Schools'],4.5
113,https://www.yelp.com/biz/%E8%B6%8A%E8%8F%AF%E6%9C%83%E6%B5%B7%E9%AE%AE%E5%B0%8F%E9%A4%A8-%E9%A6%99%E6%B8%AF?osq=food+review,Yuet Wah Wui Seafood Restaurant,%E8%B6%8A%E8%8F%AF%E6%9C%83%E6%B5%B7%E9%AE%AE%E5%B0%8F%E9%A4%A8-%E9%A6%99%E6%B8%AF,"Shop B, G/F, Wah Fat Mansion, 405-419 Lockhart Road, 駱克道405-419號華發大廈地下B舖","['Cantonese', 'Seafood']",4.5
114,https://www.yelp.com/biz/ambrosia-rooftop-restaurant-e-bar-roma-3?osq=food+review,Ambrosia Rooftop Restaurant & Bar,ambrosia-rooftop-restaurant-e-bar-roma-3,Via Nazionale 22,"['Italian', 'Wine Bars', 'Cocktail Bars']",5.0
115,https://www.yelp.com/biz/sichuan-roma?osq=food+review,SiChuan,sichuan-roma,Via di San Martino Ai Monti 33C,['Chinese'],4.5
116,https://www.yelp.com/biz/old-chengdu-roma?osq=food+review,Old Chengdu,old-chengdu-roma,Via Milazzo 1B,"['Chinese', 'Japanese']",4.5
117,https://www.yelp.com/biz/masto-roma?osq=food+review,Masto,masto-roma,Via Galvani 39,['Italian'],5.0
118,https://www.yelp.com/biz/ci-lin-roma-2?osq=food+review,Ci Lin,ci-lin-roma-2,Via della Fonte dell'Olio 6,"['Chinese', 'Japanese', 'Buffets']",4.5
119,https://www.yelp.com/biz/li-rioni-roma?osq=food+review,Li Rioni,li-rioni-roma,Via dei Santi Quattro 24,"['Pizza', 'Italian']",4.5
